"""fullq"": P=? [ UL_pkts<qlen&DL_pkts<qlen ]"
pkt_rate, qlen, throughput, Result
1, 10, 2, 1.0
1, 10, 6, 1.0
1, 10, 10, 1.0
1, 20, 2, 1.0
1, 20, 6, 1.0
1, 20, 10, 1.0
1, 30, 2, 1.0
1, 30, 6, 1.0
1, 30, 10, 1.0
2, 10, 2, 1.0
2, 10, 6, 1.0
2, 10, 10, 1.0
2, 20, 2, 1.0
2, 20, 6, 1.0
2, 20, 10, 1.0
2, 30, 2, 1.0
2, 30, 6, 1.0
2, 30, 10, 1.0
3, 10, 2, 1.0
3, 10, 6, 1.0
3, 10, 10, 1.0
3, 20, 2, 1.0
3, 20, 6, 1.0
3, 20, 10, 1.0
3, 30, 2, 1.0
3, 30, 6, 1.0
3, 30, 10, 1.0

"""halfq"": P=? [ UL_pkts/qlen<0.5&DL_pkts/qlen<0.5 ]"
pkt_rate, qlen, throughput, Result
1, 10, 2, 1.0
1, 10, 6, 1.0
1, 10, 10, 1.0
1, 20, 2, 1.0
1, 20, 6, 1.0
1, 20, 10, 1.0
1, 30, 2, 1.0
1, 30, 6, 1.0
1, 30, 10, 1.0
2, 10, 2, 1.0
2, 10, 6, 1.0
2, 10, 10, 1.0
2, 20, 2, 1.0
2, 20, 6, 1.0
2, 20, 10, 1.0
2, 30, 2, 1.0
2, 30, 6, 1.0
2, 30, 10, 1.0
3, 10, 2, 1.0
3, 10, 6, 1.0
3, 10, 10, 1.0
3, 20, 2, 1.0
3, 20, 6, 1.0
3, 20, 10, 1.0
3, 30, 2, 1.0
3, 30, 6, 1.0
3, 30, 10, 1.0
